id,class,petal_length,petal_width,sepal_length,sepal_width,cluster_kmeans3
1,Iris-setosa,1.4,0.2,5.1,3.5,1
2,Iris-setosa,1.4,0.2,4.9,3.0,1
3,Iris-setosa,1.3,0.2,4.7,3.2,1
4,Iris-setosa,1.5,0.2,4.6,3.1,1
5,Iris-setosa,1.4,0.2,5.0,3.6,1
6,Iris-setosa,1.7,0.4,5.4,3.9,1
7,Iris-setosa,1.4,0.3,4.6,3.4,1
8,Iris-setosa,1.5,0.2,5.0,3.4,1
9,Iris-setosa,1.4,0.2,4.4,2.9,1
10,Iris-setosa,1.5,0.1,4.9,3.1,1
11,Iris-setosa,1.5,0.2,5.4,3.7,1
12,Iris-setosa,1.6,0.2,4.8,3.4,1
13,Iris-setosa,1.4,0.1,4.8,3.0,1
14,Iris-setosa,1.1,0.1,4.3,3.0,1
15,Iris-setosa,1.2,0.2,5.8,4.0,1
16,Iris-setosa,1.5,0.4,5.7,4.4,1
17,Iris-setosa,1.3,0.4,5.4,3.9,1
18,Iris-setosa,1.4,0.3,5.1,3.5,1
19,Iris-setosa,1.7,0.3,5.7,3.8,1
20,Iris-setosa,1.5,0.3,5.1,3.8,1
21,Iris-setosa,1.7,0.2,5.4,3.4,1
22,Iris-setosa,1.5,0.4,5.1,3.7,1
23,Iris-setosa,1.0,0.2,4.6,3.6,1
24,Iris-setosa,1.7,0.5,5.1,3.3,1
25,Iris-setosa,1.9,0.2,4.8,3.4,1
26,Iris-setosa,1.6,0.2,5.0,3.0,1
27,Iris-setosa,1.6,0.4,5.0,3.4,1
28,Iris-setosa,1.5,0.2,5.2,3.5,1
29,Iris-setosa,1.4,0.2,5.2,3.4,1
30,Iris-setosa,1.6,0.2,4.7,3.2,1
31,Iris-setosa,1.6,0.2,4.8,3.1,1
32,Iris-setosa,1.5,0.4,5.4,3.4,1
33,Iris-setosa,1.5,0.1,5.2,4.1,1
34,Iris-setosa,1.4,0.2,5.5,4.2,1
35,Iris-setosa,1.5,0.1,4.9,3.1,1
36,Iris-setosa,1.2,0.2,5.0,3.2,1
37,Iris-setosa,1.3,0.2,5.5,3.5,1
38,Iris-setosa,1.5,0.1,4.9,3.1,1
39,Iris-setosa,1.3,0.2,4.4,3.0,1
40,Iris-setosa,1.5,0.2,5.1,3.4,1
41,Iris-setosa,1.3,0.3,5.0,3.5,1
42,Iris-setosa,1.3,0.3,4.5,2.3,1
43,Iris-setosa,1.3,0.2,4.4,3.2,1
44,Iris-setosa,1.6,0.6,5.0,3.5,1
45,Iris-setosa,1.9,0.4,5.1,3.8,1
46,Iris-setosa,1.4,0.3,4.8,3.0,1
47,Iris-setosa,1.6,0.2,5.1,3.8,1
48,Iris-setosa,1.4,0.2,4.6,3.2,1
49,Iris-setosa,1.5,0.2,5.3,3.7,1
50,Iris-setosa,1.4,0.2,5.0,3.3,1
51,Iris-versicolor,4.7,1.4,7.0,3.2,2
52,Iris-versicolor,4.5,1.5,6.4,3.2,0
53,Iris-versicolor,4.9,1.5,6.9,3.1,2
54,Iris-versicolor,4.0,1.3,5.5,2.3,0
55,Iris-versicolor,4.6,1.5,6.5,2.8,0
56,Iris-versicolor,4.5,1.3,5.7,2.8,0
57,Iris-versicolor,4.7,1.6,6.3,3.3,0
58,Iris-versicolor,3.3,1.0,4.9,2.4,0
59,Iris-versicolor,4.6,1.3,6.6,2.9,0
60,Iris-versicolor,3.9,1.4,5.2,2.7,0
61,Iris-versicolor,3.5,1.0,5.0,2.0,0
